planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_strict,1,500,3,1,0.0159,6.025,1.0,0.05,0.0,0,
custom_inflated,1,500,3,1,0.0133,6.077,0.962,0.22,0.0,0,
custom_strict,1,500,4,1,0.0151,6.087,1.01,0.1,0.0,0,
custom_inflated,1,500,4,1,0.0129,6.109,0.967,0.25,0.0,0,
custom_strict,1,500,5,1,0.0161,6.077,1.009,0.1,0.0,0,
custom_inflated,1,500,5,1,0.0129,6.085,0.963,0.22,0.0,0,
custom_strict,1,1000,1,1,0.0229,5.92,0.983,0.05,0.0,0,
custom_inflated,1,1000,1,1,0.0183,6.105,0.966,0.22,0.0,0,
custom_strict,1,1000,2,1,0.0215,6.037,1.002,0.1,0.0,0,
custom_inflated,1,1000,2,1,0.0181,6.166,0.976,0.25,0.0,0,
custom_strict,1,1000,3,1,0.0228,5.952,0.988,0.11,0.0,0,
custom_inflated,1,1000,3,1,0.0189,6.052,0.958,0.22,0.0,0,
custom_strict,1,1000,4,1,0.0229,5.938,0.986,0.14,0.0,0,
custom_inflated,1,1000,4,1,0.0182,6.036,0.955,0.22,0.0,0,
custom_strict,1,1000,5,1,0.0222,5.945,0.987,0.05,0.0,0,
custom_inflated,1,1000,5,1,0.0186,6.09,0.964,0.25,0.0,0,
custom_strict,1,2000,1,1,0.0355,5.958,0.989,0.05,0.0,0,
custom_inflated,1,2000,1,1,0.0295,6.029,0.954,0.22,0.0,0,
custom_strict,1,2000,2,1,0.0369,5.933,0.985,0.07,0.0,0,
custom_inflated,1,2000,2,1,0.0289,6.038,0.956,0.22,0.0,0,
custom_strict,1,2000,3,1,0.0368,5.967,0.991,0.14,0.0,0,
custom_inflated,1,2000,3,1,0.0286,6.072,0.961,0.22,0.0,0,
custom_strict,1,2000,4,1,0.0397,5.964,0.99,0.05,0.0,0,
custom_inflated,1,2000,4,1,0.0313,6.033,0.955,0.25,0.0,0,
custom_strict,1,2000,5,1,0.0375,5.916,0.982,0.05,0.0,0,
custom_inflated,1,2000,5,1,0.0288,6.035,0.955,0.21,0.0,0,
custom_strict,1,4000,1,1,0.055,5.92,0.983,0.05,0.0,0,
custom_inflated,1,4000,1,1,0.0424,6.022,0.953,0.22,0.0,0,
custom_strict,1,4000,2,1,0.0559,5.991,0.995,0.07,0.0,0,
custom_inflated,1,4000,2,1,0.0427,6.034,0.955,0.25,0.0,0,
custom_strict,1,4000,3,1,0.0548,6.004,0.997,0.07,0.0,0,
custom_inflated,1,4000,3,1,0.0443,6.023,0.953,0.22,0.0,0,
custom_strict,1,4000,4,1,0.0581,5.934,0.985,0.11,0.0,0,
custom_inflated,1,4000,4,1,0.0438,6.043,0.957,0.22,0.0,0,
custom_strict,1,4000,5,1,0.055,5.92,0.983,0.05,0.0,0,
custom_inflated,1,4000,5,1,0.0434,6.042,0.956,0.25,0.0,0,
repo_ompl,1,500,1,1,0.0482,6.025,1.0,0.0,0.0,15,
repo_ompl,1,500,2,1,0.0486,6.053,1.005,0.0,0.0,5,
repo_ompl,1,500,3,1,0.034,5.894,0.978,0.0,0.0,3,
repo_ompl,1,2000,1,1,0.0455,6.03,1.001,0.0,0.0,15,
repo_ompl,1,2000,2,1,0.0565,6.053,1.005,0.0,0.0,5,
repo_ompl,1,2000,3,1,0.0484,5.915,0.982,0.0,0.0,3,
repo_ompl,1,4000,1,1,0.0927,5.875,0.975,0.0,0.0,8,
repo_ompl,1,4000,2,1,0.0729,5.897,0.979,0.0,0.0,1,
repo_ompl,1,4000,3,1,0.0742,6.129,1.017,0.0,0.0,3,
custom_strict,2,250,1,1,0.0116,8.532,0.974,0.07,0.0,0,
custom_inflated,2,250,1,1,0.0101,8.769,0.979,0.25,0.0,0,
custom_strict,2,250,2,1,0.0119,8.519,0.973,0.05,0.0,0,
custom_inflated,2,250,2,0,0.011,nan,nan,nan,nan,,
custom_strict,2,250,3,1,0.0121,8.714,0.995,0.07,0.0,0,
custom_inflated,2,250,3,1,0.011,8.722,0.973,0.25,0.0,0,
custom_strict,2,250,4,1,0.0116,8.43,0.963,0.07,0.0,0,
custom_inflated,2,250,4,1,0.0105,9.036,1.008,0.21,0.0,0,
custom_strict,2,250,5,1,0.012,8.502,0.971,0.07,0.0,0,
custom_inflated,2,250,5,0,0.0103,nan,nan,nan,nan,,
custom_strict,2,500,1,1,0.0173,8.595,0.982,0.14,0.0,0,
custom_inflated,2,500,1,1,0.0141,8.839,0.986,0.25,0.0,0,
custom_strict,2,500,2,1,0.0164,8.43,0.963,0.05,0.0,0,
custom_inflated,2,500,2,1,0.0143,8.666,0.967,0.22,0.0,0,
custom_strict,2,500,3,1,0.0184,8.462,0.966,0.05,0.0,0,
